added,name,link,area,type
8/17/2025,Basel Institute on Governance,https://baselgovernance.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Beek Center Social Impact + Innovation,https://beeckcenter.georgetown.edu/,"Democracy, Government",Academic
8/17/2025,Better Government Lab,https://www.bettergovernmentlab.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Causal Inference for Social Impact Lab,https://casbs.stanford.edu/programs/projects/causal-inference-social-impact-lab,"Democracy, Government",Academic
8/17/2025,Center for the Scientific Study of Ethics & Morality,https://www.ethicscenter.uci.edu/,"Justice, Ethics",Academic
8/17/2025,Center for the Study of Democracy,https://escholarship.org/uc/csd_rw,"Democracy, Government",Academic
8/17/2025,Civic Information Index,https://civicinfoindex.org/the-index/,Community,"NGO, Non-Profit"
8/17/2025,Climate Advocacy Lab,https://climateadvocacylab.org/,Climate,"NGO, Non-Profit"
8/17/2025,Data Foundation,https://datafoundation.org/,Tech,"NGO, Non-Profit"
8/17/2025,Democracy Forward,https://democracyforward.org/about/,"Democracy, Government","Law, Legal"
8/17/2025,Democracy Policy Network,https://democracypolicy.network/the-agenda,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Digital Defense Fund,https://digitaldefensefund.org/,Tech,"NGO, Non-Profit"
8/17/2025,Digital Governance Hub,https://digitalgovernmenthub.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Digital Policy Alert,https://digitalpolicyalert.org/,Tech,"NGO, Non-Profit"
8/17/2025,Disability Culture Lab,https://www.disabilityculturelab.org/,"Justice, Ethics","NGO, Non-Profit"
8/17/2025,Evidence in Governance and Politics,https://egap.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Institute for Law & AI,https://law-ai.org/,"Tech, Democracy, Government","Law, Legal"
8/17/2025,Institute for the Study of Citizens and Politics,https://www.asc.upenn.edu/research/centers/institute-for-the-study-of-citizens-and-politics,"Democracy, Government",Academic
8/17/2025,Labor Research & Action Network,https://www.socialcapitalproject.org/about,Labor,"NGO, Non-Profit"
8/17/2025,One Point Five,https://www.opf.degree/,Climate,"NGO, Non-Profit"
8/17/2025,Open Markets,https://www.openmarketsinstitute.org/,Democracy,"NGO, Non-Profit"
8/17/2025,Other & Belonging Institute,https://belonging.berkeley.edu/resource/publication,Community,Academic
8/17/2025,Our Common Purpose,https://www.amacad.org/ourcommonpurpose/about,Community,"NGO, Non-Profit"
8/17/2025,Pacto Pela Democracia,https://handbooks.pactopelademocracia.org.br/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,People Powered,https://www.peoplepowered.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Polarization Lab,https://www.polarizationlab.com/,"Democracy, Government",Academic
8/17/2025,Political Communications Lab,https://pcl.stanford.edu/,"Communications, Media, Journalism",Academic
8/17/2025,Popular Democracy,https://populardemocracy.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Power the Polls,https://www.powerthepolls.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Protect Democracy,https://protectdemocracy.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Public Citizen,https://www.citizen.org/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Social Science One,https://socialscience.one/,"Democracy, Government",Academic
8/17/2025,Solidarity Center,https://www.solidaritycenter.org/,Labor,"NGO, Non-Profit"
8/17/2025,Tech Justice Project,https://techjusticelaw.org/,"Tech, Justice, Ethics","Law, Legal"
8/17/2025,Text Analysis Info,https://www.textanalysis.info/,Tech,Academic
8/17/2025,The Future Media Project,https://futureofmedia.hsites.harvard.edu/,"Communications, Media, Journalism",Academic
8/17/2025,The Lab @ DC,https://thelabprojects.dc.gov/,"Democracy, Government","NGO, Non-Profit"
8/17/2025,The Policy Lab @ Brown,https://thepolicylab.brown.edu/,"Democracy, Government",Academic
8/17/2025,The Social Capital Project,https://www.socialcapitalproject.org/about,Community,"NGO, Non-Profit"
8/17/2025,Work for America,https://www.workforamerica.org/about?ref=brightplus3.com,"Democracy, Government","NGO, Non-Profit"
8/17/2025,Prosocial Design Network,https://www.prosocialdesign.org/,"Community, Tech","NGO, Non-Profit"
8/18/2025,Polar Bears International,https://polarbearsinternational.org/,Animals,"NGO, Non-Profit"
8/20/2025,The Data Lodge,https://www.thedatalodge.com/,"Community, Tech",Industry
8/20/2025,Center for Evidence Capacity,https://datafoundation.org/pages/evidence-capacity,Tech,"NGO, Non-Profit"
8/20/2025,American Institutes for Research,https://www.air.org/,"Community, Social Science, Tech","NGO, Non-Profit"
8/20/2025,Center for AI & Digital Policy,https://www.caidp.org/,Tech,"NGO, Non-Profit"
9/4/2025,CivicLex,https://civiclex.org/,"Community, Media","NGO, Non-Profit"
10/9/2152,Relational Tech Project,https://relationaltechproject.org/remix,"Community, Tech","NGO, Non-Profit"
